	Region	Site	Treatment	Timepoint	Treatment_Timepoint	Region_Treatment	Region_Timepoint
Bel_CF3045_A	CP	Bel	CF	A	CF_A	CP_CF	CP_A
Bel_CF3045_B	CP	Bel	CF	B	CF_B	CP_CF	CP_B
Bel_CF3047_A	CP	Bel	CF	A	CF_A	CP_CF	CP_A
Bel_CF3047_B	CP	Bel	CF	B	CF_B	CP_CF	CP_B
Bel_CON3037_A	CP	Bel	CON	A	CON_A	CP_CON	CP_A
Bel_CON3037_B	CP	Bel	CON	B	CON_B	CP_CON	CP_B
Bel_CON3039_A	CP	Bel	CON	A	CON_A	CP_CON	CP_A
Bel_CON3039_B	CP	Bel	CON	B	CON_B	CP_CON	CP_B
Bel_Control_A	CP	Bel	none	none	none	none	none
Bel_IPM3042_A	CP	Bel	ORG	A	ORG_A	CP_ORG	CP_A
Bel_IPM3042_B	CP	Bel	ORG	B	ORG_B	CP_ORG	CP_B
Bel_IPM3044_A	CP	Bel	ORG	A	ORG_A	CP_ORG	CP_A
Bel_IPM3044_B	CP	Bel	ORG	B	ORG_B	CP_ORG	CP_B
Ber_CF2006_A	SE	Ber	CF	A	CF_A	SE_CF	SE_A
Ber_CF2006_B	SE	Ber	CF	B	CF_B	SE_CF	SE_B
Ber_CF2007_A	SE	Ber	CF	A	CF_A	SE_CF	SE_A
Ber_CF2007_B	SE	Ber	CF	B	CF_B	SE_CF	SE_B
Ber_CON2010_A	SE	Ber	CON	A	CON_A	SE_CON	SE_A
Ber_CON2010_B	SE	Ber	CON	B	CON_B	SE_CON	SE_B
Ber_CON2011_A	SE	Ber	CON	A	CON_A	SE_CON	SE_A
Ber_CON2011_Be2	SE	Ber	CON	B	CON_B	SE_CON	SE_B
Ber_Control_A	SE	Ber	none	none	none	none	none
Ber_IPM2001_A	SE	Ber	ORG	A	ORG_A	SE_ORG	SE_A
Ber_IPM2001_B	SE	Ber	ORG	B	ORG_B	SE_ORG	SE_A
Ber_IPM2002_A	SE	Ber	ORG	A	ORG_A	SE_ORG	SE_A
Ber_IPM2002_B	SE	Ber	ORG	B	ORG_B	SE_ORG	SE_A
Dal_CF1051_A	NE	Dal	CF	A	CF_A	NE_CF	NE_A
Dal_CF1051_B	NE	Dal	CF	B	CF_B	NE_CF	NE_B
Dal_CF1052_A	NE	Dal	CF	A	CF_A	NE_CF	NE_A
Dal_CF1052_B	NE	Dal	CF	B	CF_B	NE_CF	NE_B
Dal_CON1057_A	NE	Dal	CON	A	CON_A	NE_CON	NE_A
Dal_CON1057_B	NE	Dal	CON	B	CON_B	NE_CON	NE_B
Dal_CON1058_A	NE	Dal	CON	A	CON_A	NE_CON	NE_A
Dal_CON1058_B	NE	Dal	CON	B	CON_B	NE_CON	NE_B
Dal_Control_A	NE	Dal	none	none	none	none	none
Dal_IPM1054_A	NE	Dal	ORG	A	ORG_A	NE_ORG	NE_A
Dal_IPM1054_B	NE	Dal	ORG	B	ORG_B	NE_ORG	NE_B
Dal_IPM1055_A	NE	Dal	ORG	A	ORG_A	NE_ORG	NE_A
Dal_IPM1055_B	NE	Dal	ORG	B	ORG_B	NE_ORG	NE_B
Dilution	none	none	none	none	none	none	none
NTC	none	none	none	none	none	none	none
Sla_CF2065_A	SE	Sla	CF	A	CF_A	SE_CF	SE_A
Sla_CF2065_B	SE	Sla	CF	B	CF_B	SE_CF	SE_B
Sla_CF2066_A	SE	Sla	CF	A	CF_A	SE_CF	SE_A
Sla_CF2066_B	SE	Sla	CF	B	CF_B	SE_CF	SE_B
Sla_CON2061_A	SE	Sla	CON	A	CON_A	SE_CON	SE_A
Sla_CON2061_B	SE	Sla	CON	B	CON_B	SE_CON	SE_B
Sla_CON2063_A	SE	Sla	CON	A	CON_A	SE_CON	SE_A
Sla_CON2063_B	SE	Sla	CON	B	CON_B	SE_CON	SE_B
Sla_Control_A	SE	Sla	none	none	none	none	none
Sla_IPM2070_A	SE	Sla	ORG	A	ORG_A	SE_ORG	SE_A
Sla_IPM2070_B	SE	Sla	ORG	B	ORG_B	SE_ORG	SE_A
Sla_IPM2071_A	SE	Sla	ORG	A	ORG_A	SE_ORG	SE_A
Sla_IPM2071_B	SE	Sla	ORG	B	ORG_B	SE_ORG	SE_A
Spr_CF3013_A	CP	Spr	CF	A	CF_A	CP_CF	CP_A
Spr_CF3013_B	CP	Spr	CF	B	CF_B	CP_CF	CP_B
Spr_CF3016_A	CP	Spr	CF	A	CF_A	CP_CF	CP_A
Spr_CF3016_B	CP	Spr	CF	B	CF_B	CP_CF	CP_B
Spr_CON3017_A	CP	Spr	CON	A	CON_A	CP_CON	CP_A
Spr_CON3017_B	CP	Spr	CON	B	CON_B	CP_CON	CP_B
Spr_CON3019_A	CP	Spr	CON	A	CON_A	CP_CON	CP_A
Spr_CON3019_Be2	CP	Spr	CON	B	CON_B	CP_CON	CP_B
Spr_Control_A	CP	Spr	none	none	none	none	none
Spr_IPM3023_A	CP	Spr	ORG	A	ORG_A	CP_ORG	CP_A
Spr_IPM3023_B	CP	Spr	ORG	B	ORG_B	CP_ORG	CP_B
Spr_IPM3024_A	CP	Spr	ORG	A	ORG_A	CP_ORG	CP_A
Spr_IPM3024_B	CP	Spr	ORG	B	ORG_B	CP_ORG	CP_B
Sum_CF4005_A	WV	Sum	CF	A	CF_A	WV_CF	WV_A
Sum_CF4005_B	WV	Sum	CF	B	CF_B	WV_CF	WV_B
Sum_CF4006_A	WV	Sum	CF	A	CF_A	WV_CF	WV_A
Sum_CF4006_B	WV	Sum	CF	B	CF_B	WV_CF	WV_B
Sum_CON4010_A	WV	Sum	CON	A	CON_A	WV_CON	WV_A
Sum_CON4010_B	WV	Sum	CON	B	CON_B	WV_CON	WV_B
Sum_CON4011_A	WV	Sum	CON	A	CON_A	WV_CON	WV_A
Sum_CON4011_B	WV	Sum	CON	B	CON_B	WV_CON	WV_B
Sum_Control_A1	WV	Sum	none	none	none	none	none
Sum_IPM4001_A	WV	Sum	ORG	A	ORG_A	WV_ORG	WV_A
Sum_IPM4001_B	WV	Sum	ORG	B	ORG_B	WV_ORG	WV_B
Sum_IPM4002_A	WV	Sum	ORG	A	ORG_A	WV_ORG	WV_A
Sum_IPM4002_B	WV	Sum	ORG	B	ORG_B	WV_ORG	WV_B
