"","Bel_CF3045_A","Bel_CF3045_B","Bel_CF3047_A","Bel_CF3047_B","Bel_CON3037_A","Bel_CON3037_B","Bel_CON3039_A","Bel_CON3039_B","Bel_IPM3042_A","Bel_IPM3042_B","Bel_IPM3044_A","Bel_IPM3044_B","Ber_CF2006_A","Ber_CF2006_B","Ber_CF2007_A","Ber_CF2007_B","Ber_CON2010_A","Ber_CON2010_B","Ber_CON2011_A","Ber_CON2011_Be2","Ber_IPM2001_A","Ber_IPM2001_B","Ber_IPM2002_A","Ber_IPM2002_B","Dal_CF1051_A","Dal_CF1051_B","Dal_CF1052_A","Dal_CF1052_B","Dal_CON1057_B","Dal_CON1058_B","Dal_IPM1054_B","Dal_IPM1055_A","Dal_IPM1055_B","Sla_CF2065_A","Sla_CF2065_B","Sla_CF2066_A","Sla_CF2066_B","Sla_CON2061_A","Sla_CON2061_B","Sla_CON2063_A","Sla_CON2063_B","Sla_IPM2070_A","Sla_IPM2070_B","Sla_IPM2071_A","Sla_IPM2071_B","Spr_CF3013_A","Spr_CF3013_B","Spr_CF3016_A","Spr_CF3016_B","Spr_CON3017_A","Spr_CON3017_B","Spr_CON3019_A","Spr_CON3019_Be2","Spr_IPM3023_A","Spr_IPM3023_B","Spr_IPM3024_A","Spr_IPM3024_B","Sum_CF4005_A","Sum_CF4005_B","Sum_CF4006_A","Sum_CF4006_B","Sum_CON4010_A","Sum_CON4010_B","Sum_CON4011_A","Sum_CON4011_B","Sum_IPM4001_A","Sum_IPM4001_B","Sum_IPM4002_A","Sum_IPM4002_B"
"OTU_5",0.0736363636363636,0.0572727272727273,0.131818181818182,0.00818181818181818,0.0318181818181818,0.0372727272727273,0.0281818181818182,0.0445454545454545,0.0736363636363636,0.233636363636364,0.00363636363636364,0.153636363636364,0.885454545454545,0.22,0.0163636363636364,0.705454545454545,0.12,0.0409090909090909,0.0590909090909091,0.204545454545455,0.434545454545455,0.938181818181818,0.105454545454545,0.0536363636363636,0.0390909090909091,0.500909090909091,0.0436363636363636,0.384545454545455,0.19,0.0727272727272727,0.196363636363636,0,0.685454545454545,0.425454545454545,0.391818181818182,0.380909090909091,0.203636363636364,0.548181818181818,0.896363636363636,0.661818181818182,0.951818181818182,0.0718181818181818,0.544545454545455,0.306363636363636,0.543636363636364,0.0827272727272727,0.211818181818182,0.0927272727272727,0.0745454545454545,0.0827272727272727,0.108181818181818,0.0363636363636364,0.158181818181818,0.214545454545455,0.399090909090909,0.261818181818182,0.408181818181818,0.454545454545455,0.145454545454545,0.222727272727273,0.0127272727272727,0.497272727272727,0.0118181818181818,0.383636363636364,0.134545454545455,0.2,0.0663636363636364,0.192727272727273,0.149090909090909
"OTU_8",0.580909090909091,0.0345454545454545,0.282727272727273,0.556363636363636,0.77,0.721818181818182,0.617272727272727,0.201818181818182,0.153636363636364,0.346363636363636,0.72,0.254545454545455,0,0.00545454545454545,0.000909090909090909,0,0,0.00909090909090909,0,0,0,0.00181818181818182,0.000909090909090909,0.00727272727272727,0.150909090909091,0.0227272727272727,0.136363636363636,0.00636363636363636,0.00727272727272727,0.00818181818181818,0.0372727272727273,0.0518181818181818,0,0.0345454545454545,0,0.0572727272727273,0,0.157272727272727,0.000909090909090909,0.0754545454545455,0.000909090909090909,0.0463636363636364,0.00818181818181818,0.0127272727272727,0,0.157272727272727,0.100909090909091,0.0427272727272727,0.0136363636363636,0.0281818181818182,0,0.0245454545454545,0,0.0318181818181818,0.0154545454545455,0.0418181818181818,0.0736363636363636,0.105454545454545,0.0427272727272727,0.0954545454545455,0.0127272727272727,0.280909090909091,0.43,0.204545454545455,0.02,0.112727272727273,0.0154545454545455,0.0954545454545455,0.0163636363636364
"OTU_9",0.121818181818182,0.142727272727273,0.324545454545455,0.288181818181818,0.101818181818182,0.11,0.191818181818182,0.428181818181818,0.305454545454545,0.186363636363636,0.174545454545455,0.329090909090909,0.0418181818181818,0.171818181818182,0.377272727272727,0.0218181818181818,0.294545454545455,0.466363636363636,0.265454545454545,0.187272727272727,0.18,0.00454545454545455,0.381818181818182,0.543636363636364,0.0336363636363636,0.173636363636364,0.261818181818182,0.165454545454545,0.105454545454545,0.00909090909090909,0.185454545454545,0.270909090909091,0.0327272727272727,0.177272727272727,0.387272727272727,0.0845454545454545,0.370909090909091,0.107272727272727,0.0372727272727273,0.0590909090909091,0.00818181818181818,0.209090909090909,0.178181818181818,0.0545454545454545,0.113636363636364,0.519090909090909,0.236363636363636,0.322727272727273,0.499090909090909,0.0909090909090909,0.135454545454545,0.296363636363636,0.205454545454545,0.430909090909091,0.224545454545455,0.0736363636363636,0.2,0.129090909090909,0.221818181818182,0.131818181818182,0.134545454545455,0.0354545454545455,0.06,0.07,0.0709090909090909,0.159090909090909,0.0445454545454545,0.151818181818182,0.0481818181818182
"OTU_18",0.00272727272727273,0.00181818181818182,0.0181818181818182,0.0181818181818182,0.00454545454545455,0.00272727272727273,0.0145454545454545,0.00909090909090909,0.0309090909090909,0.0154545454545455,0.0109090909090909,0.0290909090909091,0.00363636363636364,0.0145454545454545,0.0209090909090909,0.00454545454545455,0.00818181818181818,0.109090909090909,0.01,0.0490909090909091,0.0190909090909091,0.0181818181818182,0.0363636363636364,0.0618181818181818,0.405454545454545,0.0181818181818182,0.113636363636364,0.0145454545454545,0.0190909090909091,0.0472727272727273,0.0418181818181818,0.0563636363636364,0.111818181818182,0.118181818181818,0.0181818181818182,0.0590909090909091,0.0154545454545455,0.0445454545454545,0,0.0609090909090909,0.000909090909090909,0.111818181818182,0.00909090909090909,0.0354545454545455,0.0290909090909091,0.0209090909090909,0.120909090909091,0,0.0518181818181818,0.04,0.220909090909091,0.163636363636364,0.0827272727272727,0.01,0.0527272727272727,0.0127272727272727,0.0854545454545454,0.103636363636364,0.241818181818182,0.133636363636364,0.359090909090909,0.0636363636363636,0.266363636363636,0.139090909090909,0.208181818181818,0.22,0.502727272727273,0.205454545454545,0.226363636363636
"OTU_33",0.0236363636363636,0.372727272727273,0.0227272727272727,0.0218181818181818,0.0172727272727273,0.0190909090909091,0.0163636363636364,0.0390909090909091,0.0190909090909091,0.0390909090909091,0.01,0.0581818181818182,0.0145454545454545,0.0172727272727273,0.0690909090909091,0.00363636363636364,0.0863636363636364,0.0281818181818182,0.0763636363636364,0.0545454545454545,0.0345454545454545,0.00454545454545455,0.0509090909090909,0.0263636363636364,0.0554545454545455,0.0890909090909091,0.0490909090909091,0.112727272727273,0.300909090909091,0.248181818181818,0.14,0.23,0.0481818181818182,0.0545454545454545,0.0109090909090909,0.164545454545455,0.0336363636363636,0.0381818181818182,0.01,0.0472727272727273,0.00181818181818182,0.330909090909091,0.0463636363636364,0.330909090909091,0.0545454545454545,0.0245454545454545,0.0481818181818182,0.09,0.0881818181818182,0.255454545454545,0.119090909090909,0.14,0.242727272727273,0.0418181818181818,0.0790909090909091,0.0218181818181818,0.0472727272727273,0.0509090909090909,0.0890909090909091,0.0536363636363636,0.138181818181818,0.0345454545454545,0.0772727272727273,0.0518181818181818,0.25,0.0818181818181818,0.119090909090909,0.0981818181818182,0.126363636363636
"OTU_35",0.00181818181818182,0.0418181818181818,0.0190909090909091,0.02,0.00727272727272727,0.0118181818181818,0.00545454545454545,0.0427272727272727,0.00727272727272727,0.0181818181818182,0,0.0327272727272727,0.00363636363636364,0.0181818181818182,0.0327272727272727,0.0145454545454545,0.0290909090909091,0.0327272727272727,0.0245454545454545,0.0390909090909091,0.0218181818181818,0.00545454545454545,0.0254545454545455,0.0281818181818182,0.0409090909090909,0.0318181818181818,0,0.0172727272727273,0.08,0.0781818181818182,0.0963636363636364,0.01,0.0372727272727273,0.0272727272727273,0.0127272727272727,0.0309090909090909,0.0727272727272727,0.0145454545454545,0.00454545454545455,0.0245454545454545,0,0.0563636363636364,0.0218181818181818,0.0727272727272727,0.0145454545454545,0.0281818181818182,0.0418181818181818,0.0581818181818182,0.0809090909090909,0.185454545454545,0.163636363636364,0.0818181818181818,0.0436363636363636,0.0390909090909091,0.0936363636363636,0.0336363636363636,0.0718181818181818,0.0290909090909091,0.0436363636363636,0.00818181818181818,0.0454545454545455,0.0145454545454545,0.0272727272727273,0.0281818181818182,0.0363636363636364,0.0336363636363636,0.0345454545454545,0.00545454545454545,0.0754545454545455
"OTU_37",0.0181818181818182,0.0454545454545455,0.0245454545454545,0.00545454545454545,0.000909090909090909,0.00181818181818182,0.0145454545454545,0.0163636363636364,0.0136363636363636,0.0118181818181818,0.0118181818181818,0.0118181818181818,0.0218181818181818,0.0145454545454545,0.0672727272727273,0.00272727272727273,0.121818181818182,0.0172727272727273,0.1,0.103636363636364,0.0609090909090909,0.000909090909090909,0.0572727272727273,0.0154545454545455,0.0645454545454545,0.0181818181818182,0.0454545454545455,0.0272727272727273,0.0436363636363636,0.1,0.0527272727272727,0.0927272727272727,0,0.0163636363636364,0.00454545454545455,0.0218181818181818,0.0263636363636364,0.0145454545454545,0.00636363636363636,0.00454545454545455,0,0.0281818181818182,0.0218181818181818,0.0181818181818182,0.0427272727272727,0.0145454545454545,0.0127272727272727,0.0690909090909091,0.0336363636363636,0.0954545454545455,0.0527272727272727,0.0290909090909091,0.0309090909090909,0.03,0.01,0.0109090909090909,0.0236363636363636,0.0281818181818182,0.0554545454545455,0.0818181818181818,0.0490909090909091,0.0218181818181818,0.0227272727272727,0.0409090909090909,0.0745454545454545,0.0554545454545455,0.0572727272727273,0.0818181818181818,0.0590909090909091
"OTU_40",0,0.000909090909090909,0.00909090909090909,0.00818181818181818,0.0109090909090909,0.00454545454545455,0.0136363636363636,0.0181818181818182,0.0445454545454545,0.00727272727272727,0.00818181818181818,0.0109090909090909,0.000909090909090909,0.0309090909090909,0.0145454545454545,0.0127272727272727,0.00272727272727273,0.131818181818182,0.00545454545454545,0.0772727272727273,0.00454545454545455,0.00272727272727273,0.00636363636363636,0.104545454545455,0,0.0163636363636364,0.0281818181818182,0.000909090909090909,0.00272727272727273,0,0.0281818181818182,0.0145454545454545,0,0.00363636363636364,0.0772727272727273,0.00636363636363636,0.0727272727272727,0,0.00909090909090909,0.00272727272727273,0.00636363636363636,0.00454545454545455,0.0245454545454545,0.00454545454545455,0.0763636363636364,0.0109090909090909,0.0445454545454545,0.0454545454545455,0.03,0.0145454545454545,0.00636363636363636,0.0218181818181818,0.00727272727272727,0.00545454545454545,0.0172727272727273,0,0.00272727272727273,0,0,0.108181818181818,0,0,0,0,0,0,0.00454545454545455,0,0
"OTU_75",0,0,0.00454545454545455,0.00181818181818182,0,0.00454545454545455,0.00181818181818182,0,0,0.00272727272727273,0,0,0,0,0.0136363636363636,0,0.00818181818181818,0.000909090909090909,0.0127272727272727,0,0.00454545454545455,0,0.00727272727272727,0,0.00545454545454545,0.0345454545454545,0.00636363636363636,0.03,0.0218181818181818,0.0754545454545455,0.0245454545454545,0.00818181818181818,0.0109090909090909,0.00363636363636364,0,0.000909090909090909,0.00545454545454545,0.00545454545454545,0,0.00363636363636364,0,0.0145454545454545,0.000909090909090909,0.0118181818181818,0,0,0.00636363636363636,0,0.00636363636363636,0.0109090909090909,0.0136363636363636,0,0.00363636363636364,0,0.000909090909090909,0,0.00363636363636364,0.00181818181818182,0.00181818181818182,0.00272727272727273,0.000909090909090909,0.00909090909090909,0.00363636363636364,0.00363636363636364,0,0.00636363636363636,0.00272727272727273,0.00454545454545455,0
"OTU_82",0.0181818181818182,0.00454545454545455,0.00636363636363636,0,0.0109090909090909,0.00727272727272727,0.00181818181818182,0.000909090909090909,0.00727272727272727,0.01,0.00545454545454545,0.00545454545454545,0.000909090909090909,0.00454545454545455,0.000909090909090909,0.000909090909090909,0.00181818181818182,0.00636363636363636,0.00636363636363636,0.0227272727272727,0.000909090909090909,0.00363636363636364,0,0.00818181818181818,0.0109090909090909,0.0145454545454545,0.138181818181818,0.0190909090909091,0.0109090909090909,0.0236363636363636,0.00818181818181818,0,0,0.00727272727272727,0.00727272727272727,0.00454545454545455,0,0.0154545454545455,0.00909090909090909,0.00909090909090909,0.000909090909090909,0,0.0263636363636364,0.00909090909090909,0.0145454545454545,0.00545454545454545,0.00181818181818182,0,0,0.0163636363636364,0.00909090909090909,0.00363636363636364,0.00636363636363636,0.0145454545454545,0.0154545454545455,0.0245454545454545,0.0127272727272727,0.0227272727272727,0.00454545454545455,0.0181818181818182,0.00818181818181818,0.00818181818181818,0.00272727272727273,0.00363636363636364,0.00727272727272727,0.00636363636363636,0.0109090909090909,0.00363636363636364,0.0145454545454545
