"","Bel_CF3045_A","Bel_CF3045_B","Bel_CF3047_A","Bel_CF3047_B","Bel_CON3037_A","Bel_CON3037_B","Bel_CON3039_A","Bel_CON3039_B","Bel_IPM3042_A","Bel_IPM3042_B","Bel_IPM3044_A","Bel_IPM3044_B","Ber_CF2006_A","Ber_CF2006_B","Ber_CF2007_A","Ber_CF2007_B","Ber_CON2010_A","Ber_CON2010_B","Ber_CON2011_A","Ber_CON2011_Be2","Ber_IPM2001_A","Ber_IPM2001_B","Ber_IPM2002_A","Ber_IPM2002_B","Dal_CF1051_A","Dal_CF1051_B","Dal_CF1052_A","Dal_CF1052_B","Dal_CON1057_A","Dal_CON1057_B","Dal_CON1058_A","Dal_CON1058_B","Dal_IPM1054_A","Dal_IPM1054_B","Dal_IPM1055_A","Dal_IPM1055_B","Sla_CF2065_A","Sla_CF2065_B","Sla_CF2066_A","Sla_CF2066_B","Sla_CON2061_A","Sla_CON2061_B","Sla_CON2063_A","Sla_CON2063_B","Sla_IPM2070_A","Sla_IPM2070_B","Sla_IPM2071_A","Sla_IPM2071_B","Spr_CF3013_A","Spr_CF3013_B","Spr_CF3016_A","Spr_CF3016_B","Spr_CON3017_A","Spr_CON3017_B","Spr_CON3019_A","Spr_CON3019_Be2","Spr_IPM3023_A","Spr_IPM3023_B","Spr_IPM3024_A","Spr_IPM3024_B","Sum_CF4005_A","Sum_CF4005_B","Sum_CF4006_A","Sum_CF4006_B","Sum_CON4010_A","Sum_CON4010_B","Sum_CON4011_A","Sum_CON4011_B","Sum_IPM4001_A","Sum_IPM4001_B","Sum_IPM4002_A","Sum_IPM4002_B"
"OTU_5",0.0809090909090909,0.0618181818181818,0.14,0.0145454545454545,0.0336363636363636,0.0463636363636364,0.0227272727272727,0.0390909090909091,0.0636363636363636,0.249090909090909,0.00454545454545455,0.152727272727273,0.905454545454545,0.196363636363636,0.02,0.68,0.115454545454545,0.0381818181818182,0.06,0.222727272727273,0.428181818181818,0.929090909090909,0.11,0.0527272727272727,0.0327272727272727,0.499090909090909,0.0436363636363636,0.38,0.02,0.196363636363636,0.01,0.0727272727272727,0,0.178181818181818,0,0.686363636363636,0.407272727272727,0.398181818181818,0.356363636363636,0.219090909090909,0.567272727272727,0.899090909090909,0.639090909090909,0.955454545454545,0.08,0.522727272727273,0.324545454545455,0.543636363636364,0.0590909090909091,0.215454545454545,0.0881818181818182,0.0690909090909091,0.0690909090909091,0.110909090909091,0.0327272727272727,0.162727272727273,0.218181818181818,0.395454545454545,0.271818181818182,0.375454545454545,0.430909090909091,0.147272727272727,0.228181818181818,0.0172727272727273,0.5,0.0118181818181818,0.34,0.136363636363636,0.211818181818182,0.0690909090909091,0.204545454545455,0.164545454545455
"OTU_8",0.565454545454545,0.0390909090909091,0.263636363636364,0.569090909090909,0.78,0.705454545454545,0.619090909090909,0.204545454545455,0.142727272727273,0.332727272727273,0.711818181818182,0.279090909090909,0,0.00636363636363636,0.000909090909090909,0.00181818181818182,0,0.0127272727272727,0,0,0,0.00454545454545455,0.000909090909090909,0.00363636363636364,0.15,0.0209090909090909,0.139090909090909,0.00727272727272727,0.152727272727273,0.00909090909090909,0.0872727272727273,0.00727272727272727,0.02,0.0436363636363636,0.0636363636363636,0,0.0336363636363636,0,0.0481818181818182,0,0.156363636363636,0.000909090909090909,0.0772727272727273,0,0.0390909090909091,0.00727272727272727,0.0136363636363636,0,0.141818181818182,0.0918181818181818,0.0463636363636364,0.0109090909090909,0.0281818181818182,0,0.0209090909090909,0,0.0318181818181818,0.0172727272727273,0.0418181818181818,0.0809090909090909,0.120909090909091,0.06,0.1,0.0172727272727273,0.276363636363636,0.433636363636364,0.209090909090909,0.0236363636363636,0.107272727272727,0.0209090909090909,0.0954545454545455,0.0127272727272727
"OTU_9",0.121818181818182,0.126363636363636,0.314545454545455,0.277272727272727,0.103636363636364,0.100909090909091,0.197272727272727,0.411818181818182,0.313636363636364,0.181818181818182,0.170909090909091,0.321818181818182,0.0336363636363636,0.187272727272727,0.395454545454545,0.0227272727272727,0.285454545454545,0.458181818181818,0.257272727272727,0.192727272727273,0.197272727272727,0.00272727272727273,0.368181818181818,0.544545454545455,0.0290909090909091,0.170909090909091,0.251818181818182,0.148181818181818,0.0454545454545455,0.0854545454545454,0.0218181818181818,0.01,0.00727272727272727,0.179090909090909,0.275454545454545,0.0290909090909091,0.173636363636364,0.382727272727273,0.0863636363636364,0.361818181818182,0.0954545454545455,0.03,0.06,0.01,0.213636363636364,0.182727272727273,0.06,0.103636363636364,0.540909090909091,0.237272727272727,0.309090909090909,0.492727272727273,0.0909090909090909,0.13,0.292727272727273,0.205454545454545,0.450909090909091,0.24,0.0845454545454545,0.222727272727273,0.139090909090909,0.214545454545455,0.133636363636364,0.140909090909091,0.0390909090909091,0.0609090909090909,0.0590909090909091,0.0590909090909091,0.15,0.05,0.13,0.0518181818181818
"OTU_18",0.00181818181818182,0.00545454545454545,0.02,0.0136363636363636,0.00272727272727273,0.00545454545454545,0.0118181818181818,0.00818181818181818,0.0281818181818182,0.0227272727272727,0.00636363636363636,0.0272727272727273,0.00272727272727273,0.0109090909090909,0.0218181818181818,0.00818181818181818,0.0109090909090909,0.121818181818182,0.0154545454545455,0.0581818181818182,0.0136363636363636,0.0254545454545455,0.0345454545454545,0.05,0.428181818181818,0.0218181818181818,0.128181818181818,0.0163636363636364,0.189090909090909,0.0190909090909091,0.0963636363636364,0.0481818181818182,0.100909090909091,0.0527272727272727,0.0536363636363636,0.116363636363636,0.134545454545455,0.0209090909090909,0.0672727272727273,0.0154545454545455,0.0527272727272727,0,0.0663636363636364,0.000909090909090909,0.115454545454545,0.00636363636363636,0.0318181818181818,0.0336363636363636,0.02,0.12,0,0.0536363636363636,0.0445454545454545,0.21,0.170909090909091,0.0781818181818182,0.01,0.0618181818181818,0.0109090909090909,0.0836363636363636,0.0954545454545455,0.24,0.144545454545455,0.339090909090909,0.0554545454545455,0.264545454545455,0.141818181818182,0.205454545454545,0.193636363636364,0.488181818181818,0.197272727272727,0.21
"OTU_33",0.0272727272727273,0.376363636363636,0.0254545454545455,0.0209090909090909,0.0145454545454545,0.0181818181818182,0.0136363636363636,0.0436363636363636,0.0209090909090909,0.0363636363636364,0.00818181818181818,0.0572727272727273,0.00909090909090909,0.0190909090909091,0.0636363636363636,0.00545454545454545,0.0818181818181818,0.0236363636363636,0.0772727272727273,0.0472727272727273,0.0354545454545455,0.00636363636363636,0.0654545454545455,0.0281818181818182,0.0536363636363636,0.0963636363636364,0.0490909090909091,0.0981818181818182,0.124545454545455,0.306363636363636,0.0709090909090909,0.216363636363636,0.0590909090909091,0.128181818181818,0.201818181818182,0.0454545454545455,0.06,0.0109090909090909,0.173636363636364,0.0363636363636364,0.0345454545454545,0.0118181818181818,0.0590909090909091,0.000909090909090909,0.322727272727273,0.0536363636363636,0.322727272727273,0.0518181818181818,0.0172727272727273,0.0545454545454545,0.0809090909090909,0.0827272727272727,0.259090909090909,0.132727272727273,0.146363636363636,0.25,0.0381818181818182,0.0736363636363636,0.0190909090909091,0.0545454545454545,0.05,0.0972727272727273,0.0518181818181818,0.141818181818182,0.04,0.0854545454545454,0.0709090909090909,0.260909090909091,0.0981818181818182,0.114545454545455,0.107272727272727,0.141818181818182
"OTU_35",0.00363636363636364,0.0563636363636364,0.0218181818181818,0.0218181818181818,0.00454545454545455,0.0145454545454545,0.00545454545454545,0.0418181818181818,0.00636363636363636,0.0254545454545455,0,0.0354545454545455,0.00181818181818182,0.0209090909090909,0.0281818181818182,0.0109090909090909,0.0309090909090909,0.03,0.02,0.0390909090909091,0.0181818181818182,0.00363636363636364,0.0227272727272727,0.0345454545454545,0.0327272727272727,0.04,0,0.0245454545454545,0.107272727272727,0.0763636363636364,0.0372727272727273,0.0836363636363636,0.0490909090909091,0.106363636363636,0.0127272727272727,0.0354545454545455,0.0227272727272727,0.0127272727272727,0.0309090909090909,0.0809090909090909,0.0109090909090909,0.00272727272727273,0.0227272727272727,0.000909090909090909,0.0563636363636364,0.0236363636363636,0.0736363636363636,0.0209090909090909,0.0327272727272727,0.0409090909090909,0.0636363636363636,0.0827272727272727,0.192727272727273,0.158181818181818,0.0718181818181818,0.0518181818181818,0.0354545454545455,0.0809090909090909,0.03,0.07,0.0281818181818182,0.0418181818181818,0.00636363636363636,0.0436363636363636,0.0127272727272727,0.0272727272727273,0.0263636363636364,0.0372727272727273,0.0345454545454545,0.0336363636363636,0.0127272727272727,0.0736363636363636
"OTU_37",0.0190909090909091,0.0363636363636364,0.03,0.00454545454545455,0.00272727272727273,0.00818181818181818,0.0181818181818182,0.02,0.0181818181818182,0.0145454545454545,0.0136363636363636,0.0136363636363636,0.0136363636363636,0.0145454545454545,0.0690909090909091,0.00272727272727273,0.134545454545455,0.0163636363636364,0.0918181818181818,0.106363636363636,0.0627272727272727,0.000909090909090909,0.0681818181818182,0.0163636363636364,0.05,0.0181818181818182,0.0454545454545455,0.0318181818181818,0.0272727272727273,0.0536363636363636,0.0472727272727273,0.09,0.0272727272727273,0.0554545454545455,0.101818181818182,0,0.0245454545454545,0.00363636363636364,0.0236363636363636,0.02,0.0118181818181818,0.00636363636363636,0.00454545454545455,0,0.0263636363636364,0.0263636363636364,0.0254545454545455,0.0409090909090909,0.0181818181818182,0.0136363636363636,0.0727272727272727,0.0254545454545455,0.0863636363636364,0.0545454545454545,0.0436363636363636,0.0318181818181818,0.0327272727272727,0.0163636363636364,0.0127272727272727,0.0209090909090909,0.0209090909090909,0.04,0.0818181818181818,0.0545454545454545,0.0245454545454545,0.0190909090909091,0.0418181818181818,0.0736363636363636,0.0654545454545455,0.0636363636363636,0.0936363636363636,0.0536363636363636
"OTU_40",0.000909090909090909,0.00181818181818182,0.01,0.00818181818181818,0.00909090909090909,0.00363636363636364,0.0145454545454545,0.0218181818181818,0.0345454545454545,0.00727272727272727,0.00636363636363636,0.00818181818181818,0.000909090909090909,0.0272727272727273,0.01,0.0118181818181818,0.00363636363636364,0.131818181818182,0.00727272727272727,0.0681818181818182,0.00363636363636364,0.00181818181818182,0.00454545454545455,0.101818181818182,0,0.00636363636363636,0.0318181818181818,0.00181818181818182,0.00818181818181818,0.00454545454545455,0,0,0,0.0272727272727273,0.0127272727272727,0,0.00454545454545455,0.0781818181818182,0.00636363636363636,0.0718181818181818,0,0.00909090909090909,0.00818181818181818,0.00909090909090909,0.00272727272727273,0.0309090909090909,0.00545454545454545,0.0818181818181818,0.0109090909090909,0.0445454545454545,0.0481818181818182,0.0309090909090909,0.0163636363636364,0.00818181818181818,0.0281818181818182,0.00636363636363636,0.00454545454545455,0.0145454545454545,0,0.00545454545454545,0,0,0.102727272727273,0,0,0,0,0,0,0.00272727272727273,0,0
"OTU_55",0.000909090909090909,0.0227272727272727,0.00181818181818182,0.00181818181818182,0.000909090909090909,0.00272727272727273,0.00181818181818182,0.00181818181818182,0.00181818181818182,0.00363636363636364,0.000909090909090909,0.00272727272727273,0.00454545454545455,0,0.0409090909090909,0,0.0427272727272727,0.000909090909090909,0.0509090909090909,0.00454545454545455,0.0381818181818182,0,0.0354545454545455,0.00181818181818182,0,0.00818181818181818,0,0.0109090909090909,0,0.00818181818181818,0,0.0145454545454545,0,0.00818181818181818,0.0309090909090909,0,0.00818181818181818,0,0.00818181818181818,0,0,0,0.00272727272727273,0,0.00545454545454545,0,0.01,0,0,0.00272727272727273,0,0,0,0.01,0.00363636363636364,0,0.0127272727272727,0,0.00181818181818182,0.00181818181818182,0.00181818181818182,0.000909090909090909,0,0,0,0,0.000909090909090909,0,0,0,0,0
"OTU_62",0.00272727272727273,0.00181818181818182,0.00454545454545455,0,0.000909090909090909,0.000909090909090909,0.00363636363636364,0.000909090909090909,0.000909090909090909,0.00181818181818182,0.00272727272727273,0.000909090909090909,0.00454545454545455,0.000909090909090909,0.0327272727272727,0,0.0409090909090909,0,0.0481818181818182,0.00636363636363636,0.0463636363636364,0,0.0745454545454545,0,0.00181818181818182,0,0.00363636363636364,0,0,0,0,0.00545454545454545,0,0.01,0.0854545454545454,0,0.000909090909090909,0,0.00727272727272727,0.000909090909090909,0.00727272727272727,0,0.00181818181818182,0,0,0.00181818181818182,0.00272727272727273,0,0.00454545454545455,0.00181818181818182,0.00363636363636364,0.00272727272727273,0.00545454545454545,0.00272727272727273,0.00818181818181818,0,0.0127272727272727,0,0.00454545454545455,0.000909090909090909,0.00727272727272727,0.00363636363636364,0.00363636363636364,0.00636363636363636,0.000909090909090909,0.00636363636363636,0.00727272727272727,0.0163636363636364,0.0209090909090909,0.0190909090909091,0.00727272727272727,0.00454545454545455
