"","Bel_CF3045_A","Bel_CF3045_B","Bel_CF3047_A","Bel_CF3047_B","Bel_CON3037_A","Bel_CON3037_B","Bel_CON3039_A","Bel_CON3039_B","Bel_IPM3042_A","Bel_IPM3042_B","Bel_IPM3044_A","Bel_IPM3044_B","Ber_CF2006_A","Ber_CF2006_B","Ber_CF2007_A","Ber_CF2007_B","Ber_CON2010_A","Ber_CON2010_B","Ber_CON2011_A","Ber_CON2011_Be2","Ber_IPM2001_A","Ber_IPM2001_B","Ber_IPM2002_A","Ber_IPM2002_B","Dal_CF1051_A","Dal_CF1051_B","Dal_CF1052_A","Dal_CF1052_B","Dal_CON1057_B","Dal_CON1058_B","Dal_IPM1054_B","Dal_IPM1055_A","Dal_IPM1055_B","Sla_CF2065_A","Sla_CF2065_B","Sla_CF2066_A","Sla_CF2066_B","Sla_CON2061_A","Sla_CON2061_B","Sla_CON2063_A","Sla_CON2063_B","Sla_IPM2070_A","Sla_IPM2070_B","Sla_IPM2071_A","Sla_IPM2071_B","Spr_CF3013_A","Spr_CF3013_B","Spr_CF3016_A","Spr_CF3016_B","Spr_CON3017_A","Spr_CON3017_B","Spr_CON3019_A","Spr_CON3019_Be2","Spr_IPM3023_A","Spr_IPM3023_B","Spr_IPM3024_A","Spr_IPM3024_B","Sum_CF4005_A","Sum_CF4005_B","Sum_CF4006_A","Sum_CF4006_B","Sum_CON4010_A","Sum_CON4010_B","Sum_CON4011_A","Sum_CON4011_B","Sum_IPM4001_A","Sum_IPM4001_B","Sum_IPM4002_A","Sum_IPM4002_B"
"OTU_5",81,63,145,9,35,41,31,49,81,257,4,169,974,242,18,776,132,45,65,225,478,1032,116,59,43,551,48,423,209,80,216,0,754,468,431,419,224,603,986,728,1047,79,599,337,598,91,233,102,82,91,119,40,174,236,439,288,449,500,160,245,14,547,13,422,148,220,73,212,164
"OTU_8",639,38,311,612,847,794,679,222,169,381,792,280,0,6,1,0,0,10,0,0,0,2,1,8,166,25,150,7,8,9,41,57,0,38,0,63,0,173,1,83,1,51,9,14,0,173,111,47,15,31,0,27,0,35,17,46,81,116,47,105,14,309,473,225,22,124,17,105,18
"OTU_9",134,157,357,317,112,121,211,471,336,205,192,362,46,189,415,24,324,513,292,206,198,5,420,598,37,191,288,182,116,10,204,298,36,195,426,93,408,118,41,65,9,230,196,60,125,571,260,355,549,100,149,326,226,474,247,81,220,142,244,145,148,39,66,77,78,175,49,167,53
"OTU_18",3,2,20,20,5,3,16,10,34,17,12,32,4,16,23,5,9,120,11,54,21,20,40,68,446,20,125,16,21,52,46,62,123,130,20,65,17,49,0,67,1,123,10,39,32,23,133,0,57,44,243,180,91,11,58,14,94,114,266,147,395,70,293,153,229,242,553,226,249
"OTU_33",26,410,25,24,19,21,18,43,21,43,11,64,16,19,76,4,95,31,84,60,38,5,56,29,61,98,54,124,331,273,154,253,53,60,12,181,37,42,11,52,2,364,51,364,60,27,53,99,97,281,131,154,267,46,87,24,52,56,98,59,152,38,85,57,275,90,131,108,139
"OTU_35",2,46,21,22,8,13,6,47,8,20,0,36,4,20,36,16,32,36,27,43,24,6,28,31,45,35,0,19,88,86,106,11,41,30,14,34,80,16,5,27,0,62,24,80,16,31,46,64,89,204,180,90,48,43,103,37,79,32,48,9,50,16,30,31,40,37,38,6,83
"OTU_37",20,50,27,6,1,2,16,18,15,13,13,13,24,16,74,3,134,19,110,114,67,1,63,17,71,20,50,30,48,110,58,102,0,18,5,24,29,16,7,5,0,31,24,20,47,16,14,76,37,105,58,32,34,33,11,12,26,31,61,90,54,24,25,45,82,61,63,90,65
"OTU_40",0,1,10,9,12,5,15,20,49,8,9,12,1,34,16,14,3,145,6,85,5,3,7,115,0,18,31,1,3,0,31,16,0,4,85,7,80,0,10,3,7,5,27,5,84,12,49,50,33,16,7,24,8,6,19,0,3,0,0,119,0,0,0,0,0,0,5,0,0
"OTU_75",0,0,5,2,0,5,2,0,0,3,0,0,0,0,15,0,9,1,14,0,5,0,8,0,6,38,7,33,24,83,27,9,12,4,0,1,6,6,0,4,0,16,1,13,0,0,7,0,7,12,15,0,4,0,1,0,4,2,2,3,1,10,4,4,0,7,3,5,0
"OTU_82",20,5,7,0,12,8,2,1,8,11,6,6,1,5,1,1,2,7,7,25,1,4,0,9,12,16,152,21,12,26,9,0,0,8,8,5,0,17,10,10,1,0,29,10,16,6,2,0,0,18,10,4,7,16,17,27,14,25,5,20,9,9,3,4,8,7,12,4,16
