"","X","Region","Site","Treatment","Timepoint","Treatment_Timepoint","Region_Treatment","Region_Timepoint","Region_Site","Treatment_Site"
"Bel_CF3045_A","Bel_CF3045_A","CP","Bel","CF","A","CF_A","CP_CF","CP_A","CPBel","CFBel"
"Bel_CF3045_B","Bel_CF3045_B","CP","Bel","CF","B","CF_B","CP_CF","CP_B","CPBel","CFBel"
"Bel_CF3047_A","Bel_CF3047_A","CP","Bel","CF","A","CF_A","CP_CF","CP_A","CPBel","CFBel"
"Bel_CF3047_B","Bel_CF3047_B","CP","Bel","CF","B","CF_B","CP_CF","CP_B","CPBel","CFBel"
"Bel_CON3037_A","Bel_CON3037_A","CP","Bel","CON","A","CON_A","CP_CON","CP_A","CPBel","CONBel"
"Bel_CON3037_B","Bel_CON3037_B","CP","Bel","CON","B","CON_B","CP_CON","CP_B","CPBel","CONBel"
"Bel_CON3039_A","Bel_CON3039_A","CP","Bel","CON","A","CON_A","CP_CON","CP_A","CPBel","CONBel"
"Bel_CON3039_B","Bel_CON3039_B","CP","Bel","CON","B","CON_B","CP_CON","CP_B","CPBel","CONBel"
"Bel_IPM3042_A","Bel_IPM3042_A","CP","Bel","ORG","A","ORG_A","CP_ORG","CP_A","CPBel","ORGBel"
"Bel_IPM3042_B","Bel_IPM3042_B","CP","Bel","ORG","B","ORG_B","CP_ORG","CP_B","CPBel","ORGBel"
"Bel_IPM3044_A","Bel_IPM3044_A","CP","Bel","ORG","A","ORG_A","CP_ORG","CP_A","CPBel","ORGBel"
"Bel_IPM3044_B","Bel_IPM3044_B","CP","Bel","ORG","B","ORG_B","CP_ORG","CP_B","CPBel","ORGBel"
"Ber_CF2006_A","Ber_CF2006_A","SE","Ber","CF","A","CF_A","SE_CF","SE_A","SEBer","CFBer"
"Ber_CF2006_B","Ber_CF2006_B","SE","Ber","CF","B","CF_B","SE_CF","SE_B","SEBer","CFBer"
"Ber_CF2007_A","Ber_CF2007_A","SE","Ber","CF","A","CF_A","SE_CF","SE_A","SEBer","CFBer"
"Ber_CF2007_B","Ber_CF2007_B","SE","Ber","CF","B","CF_B","SE_CF","SE_B","SEBer","CFBer"
